"source_image","candidate_image","phash_distance","dhash_distance","edge_distance","visual_distance","orb_keypoints_source","orb_keypoints_candidate","orb_good_matches","orb_inlier_matches","orb_score","combined_score","match_band"
"C:\Users\ron\Documents\project\images\fig_009h.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.74.2.png","26","22","18","23.0","2500","2500","17","6","0.0024","77.24","weak"
"C:\Users\ron\Documents\project\images\fig_131.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1966.13.1_2.png","26","15","25","23.0","2500","2500","9","6","0.0024","77.24","weak"
"C:\Users\ron\Documents\project\images\fig_341h.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.24.png","22","23","25","23.0","2287","2500","14","5","0.00219","77.21863","weak"
"C:\Users\ron\Documents\project\images\fig_190h.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1908.41.3.png","24","10","34","23.0","2142","2500","8","4","0.00187","77.18674","weak"
"C:\Users\ron\Documents\project\images\fig_240.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.39.22.png","22","20","28","23.0","2218","2500","6","4","0.0018","77.18034","weak"
"C:\Users\ron\Documents\project\images\fig_180.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.10.2.png","24","23","23","23.5","2161","749","11","5","0.00668","77.16756","weak"
"C:\Users\ron\Documents\project\images\fig_271.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.1_3.png","18","27","29","23.0","2401","2500","7","4","0.00167","77.1666","weak"
"C:\Users\ron\Documents\project\images\fig_131h.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1966.13.1_2.png","26","15","25","23.0","2500","2500","14","4","0.0016","77.16","weak"
"C:\Users\ron\Documents\project\images\fig_343h.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1988.11.2_1.png","20","23","31","23.5","2500","806","10","5","0.0062","77.12035","weak"
"C:\Users\ron\Documents\project\images\fig_264h.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.16.png","18","21","36","23.25","2500","1985","22","7","0.00353","77.10264","weak"
"C:\Users\ron\Documents\project\images\fig_345.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\2012.103.12.png","22","17","32","23.25","1717","1924","10","5","0.00291","77.04121","weak"
"C:\Users\ron\Documents\project\images\fig_322h.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1980.19.1.png","18","21","36","23.25","2500","2497","14","6","0.0024","76.99029","weak"
"C:\Users\ron\Documents\project\images\fig_365h.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1975.7.2_1.png","28","24","13","23.25","2500","2500","13","6","0.0024","76.99","weak"
"C:\Users\ron\Documents\project\images\fig_129h.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1966.13.1_2.png","18","20","37","23.25","2500","2500","12","5","0.002","76.95","weak"
"C:\Users\ron\Documents\project\images\fig_322.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1980.19.1.png","18","21","36","23.25","2249","2497","9","4","0.00178","76.92786","weak"
"C:\Users\ron\Documents\project\images\fig_073h.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1901.56.2.png","24","19","26","23.25","2424","2500","6","4","0.00165","76.91502","weak"
"C:\Users\ron\Documents\project\images\fig_255h.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1908.41.3.png","28","13","24","23.25","2500","2500","10","4","0.0016","76.91","weak"
"C:\Users\ron\Documents\project\images\fig_129.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1966.13.1_2.png","18","20","37","23.25","2480","2500","12","3","0.00121","76.87097","weak"
"C:\Users\ron\Documents\project\images\fig_243.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1908.65.1.png","20","28","26","23.5","1104","2500","5","4","0.00362","76.86232","weak"
"C:\Users\ron\Documents\project\images\fig_253.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1909.67.22.png","18","20","39","23.75","823","1988","6","5","0.00608","76.85753","weak"
"C:\Users\ron\Documents\project\images\fig_051.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.1.4.png","24","18","28","23.5","1459","2500","8","5","0.00343","76.8427","weak"
"C:\Users\ron\Documents\project\images\fig_246.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.17.1.png","20","24","30","23.5","2094","2453","13","7","0.00334","76.83429","weak"
"C:\Users\ron\Documents\project\images\fig_034.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.23.png","18","20","38","23.5","1904","2500","17","6","0.00315","76.81513","weak"
"C:\Users\ron\Documents\project\images\fig_073.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1901.56.2.png","24","19","27","23.5","1388","2500","4","4","0.00288","76.78818","weak"
"C:\Users\ron\Documents\project\images\fig_035.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.3.png","22","20","29","23.25","2118","2498","3","0","0.0","76.75","weak"
"C:\Users\ron\Documents\project\images\fig_190.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1908.41.3.png","24","10","35","23.25","1325","2500","3","0","0.0","76.75","weak"
"C:\Users\ron\Documents\project\images\fig_212.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1917.38.2.png","16","27","36","23.75","1998","1600","22","8","0.005","76.75","weak"
"C:\Users\ron\Documents\project\images\fig_343.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1988.11.2_1.png","20","23","32","23.75","2500","806","14","4","0.00496","76.74628","weak"
"C:\Users\ron\Documents\project\images\fig_289.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1908.41.3.png","26","22","20","23.5","2139","2500","10","5","0.00234","76.73375","weak"
"C:\Users\ron\Documents\project\images\fig_027.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\2012.103.12.png","22","24","26","23.5","2384","1924","8","4","0.00208","76.7079","weak"
"C:\Users\ron\Documents\project\images\fig_009.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.6.png","18","15","43","23.5","1977","2128","9","4","0.00202","76.70233","weak"
"C:\Users\ron\Documents\project\images\fig_112h.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.16.png","20","16","38","23.5","2500","1985","14","4","0.00202","76.70151","weak"
"C:\Users\ron\Documents\project\images\fig_360h.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1965.9.1.png","26","15","27","23.5","2500","2500","10","5","0.002","76.7","weak"
"C:\Users\ron\Documents\project\images\fig_016.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.39.26.png","22","25","25","23.5","2144","2500","6","4","0.00187","76.68657","weak"
"C:\Users\ron\Documents\project\images\fig_281.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.39.23.png","22","18","32","23.5","2329","2500","4","4","0.00172","76.67175","weak"
"C:\Users\ron\Documents\project\images\fig_326h.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1908.41.3.png","22","10","40","23.5","2374","2500","11","4","0.00168","76.66849","weak"
"C:\Users\ron\Documents\project\images\fig_276.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.17.1.png","20","22","32","23.5","2385","2453","4","4","0.00168","76.66771","weak"
"C:\Users\ron\Documents\project\images\fig_255.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1908.41.3.png","28","13","25","23.5","2430","2500","6","4","0.00165","76.66461","weak"
"C:\Users\ron\Documents\project\images\fig_004.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1917.2.13.png","24","19","27","23.5","2460","2500","15","4","0.00163","76.6626","weak"
